Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2024-07-12 11:12:14,false,"Silkeborg - Base","52,04","1.496","01:53:08","146","191","3,7","27,6","53,5","480","483","NaN","NaN","NaN","NaN","83","107","233","135,2","225","193","901","NaN","NaN","9103","NaN","NaN","NaN","18,0","No","00:09:03,6","2","24,0","31","16","47","01:52:41","02:25:13","28","99"
Road Cycling,2024-07-11 07:01:39,false,"Silkeborg - Base","56,41","1.577","01:59:21","140","160","3,5","28,4","48,8","424","428","NaN","NaN","NaN","NaN","85","115","200","104,5","202","193","442","NaN","NaN","10086","NaN","NaN","NaN","16,0","No","00:05:22,7","2","27,0","31","15","37","01:59:14","02:09:50","60","99"
Road Cycling,2024-07-09 09:23:59,false,"Silkeborg Road Cycling","49,57","1.346","01:55:07","137","186","3,7","25,8","57,0","468","464","NaN","NaN","NaN","NaN","78","117","245","151,7","210","168","1.017","NaN","NaN","8238","NaN","NaN","NaN","16,0","No","01:55:07","1","26,0","29","13","48","01:54:58","01:56:58","22","130"
Indoor Cycling,2024-07-03 16:21:56,false,"Indoor Cycling","35,66","889","01:30:06","125","148","2,5","23,7","122,0","--","--","NaN","NaN","NaN","NaN","77","101","146","42,3","151","137","488","NaN","NaN","6426","NaN","NaN","NaN","27,0","No","01:30:06","1","30,0","27","20","34","01:24:43","01:30:06","--","--"
Road Cycling,2024-07-02 09:55:06,false,"Silkeborg Road Cycling","49,45","1.350","02:02:35","--","--","2,2","24,2","54,7","470","466","NaN","NaN","NaN","NaN","78","109","197","104,3","201","157","464","NaN","NaN","8837","NaN","NaN","NaN","14,0","No","02:02:35","1","21,0","--","--","--","02:02:11","02:10:10","22","131"
Road Cycling,2024-07-01 11:21:02,false,"Silkeborg Road Cycling","58,22","1.617","02:07:03","--","--","2,5","27,5","67,2","470","464","NaN","NaN","NaN","NaN","77","119","235","153,5","213","185","792","NaN","NaN","9305","NaN","NaN","NaN","17,0","No","02:07:03","1","28,0","--","--","--","02:06:49","02:14:47","25","122"
Road Cycling,2024-06-27 15:42:32,false,"Silkeborg - 4x8 min interval","64,00","1.772","02:21:55","144","187","4,3","27,1","57,5","473","471","NaN","NaN","NaN","NaN","79","110","223","154,9","258","181","613","NaN","NaN","10421","NaN","NaN","NaN","24,0","No","00:02:00","11","34,0","32","18","47","02:21:36","02:30:15","39","122"
Road Cycling,2024-06-26 09:16:13,false,"Silkeborg Road Cycling","64,02","1.631","02:29:19","124","156","3,2","25,7","52,5","483","481","NaN","NaN","NaN","NaN","78","118","183","105,6","174","155","434","NaN","NaN","10662","NaN","NaN","NaN","22,0","No","02:29:19","1","29,0","26","18","33","02:29:05","02:34:41","37","123"
Road Cycling,2024-06-25 08:07:01,false,"Silkeborg Road Cycling","64,07","1.710","02:22:34","136","190","3,6","27,0","56,3","486","484","NaN","NaN","NaN","NaN","75","107","224","149,8","210","173","1.085","NaN","NaN","9927","NaN","NaN","NaN","17,0","No","02:22:34","1","28,0","29","19","44","02:22:22","02:31:11","37","123"
Road Cycling,2024-06-22 10:56:03,false,"Silkeborg - FTP test","73,47","2.036","02:43:40","143","185","4,4","26,9","51,6","516","513","NaN","NaN","NaN","NaN","76","105","218","163,1","296","180","588","NaN","NaN","11586","NaN","NaN","NaN","13,0","No","00:20:00","3","23,0","30","14","50","02:43:25","02:48:22","26","123"
